date,epilepsie,anevrisme_miliaire,aphasie,arthropathie_tabetique,astasie_abasie,ataxie_locomotrice_progressive,athetose,atrophie_musculaire_progressive,bulbe_rachidien,choree,clonus,coupe_verticale,fugue,glossy_skin,hypnose,hysterie,localisation_cerebrale,maladie_de_parkinson,maladie_de_gilles_de_la_tourette,methode_anatomo_clinique,migraine_ophtalmique,pachymeningite_cervicale_hypertrophique,paralysie_agitante,sclerose_en_plaques_disseminees,sclerose_laterale_amyotrophique,syndrome_de_parkinson,syndrome_de_gilles_de_la_tourette,systematisation_de_la_moelle,tabes_dorsalis,tabes_dorsalis_spasmodique,thrombose_de_l_artere_cerebrale_posterieure,tic_convulsif,tremblement
1881,619.644623,3.432934,87.539822,18.881138,,,3.432934,1.716467,1.716467,128.735032,1.716467,1.716467,3.432934,,,793.0078,42.911677,,,,,,13.731737,,15.448204,,,,27.463474,5.149401,,,223.140723
1882,473.92981,4.050682,226.8382,,,4.050682,,,4.050682,52.658868,16.202729,32.405457,,,,218.736835,16.202729,8.101364,,,4.050682,,24.304093,,,,,,36.456139,4.050682,,,133.67251
1883,470.977295,3.388326,101.649776,3.388326,,16.941629,16.941629,10.164978,,33.883259,,13.553303,10.164978,,3.388326,274.454395,23.718281,3.388326,,,3.388326,,13.553303,3.388326,23.718281,,,3.388326,23.718281,6.776652,,,186.357922
1884,874.319359,,435.315124,7.378222,,14.756445,22.134667,22.134667,7.378222,114.362448,,25.823779,3.689111,,7.378222,486.962681,81.160447,18.445556,,3.689111,,,25.823779,3.689111,33.202001,,,,47.958446,3.689111,,3.689111,125.429781
1885,643.611232,,155.005846,,,3.369692,13.478769,16.848462,,117.939231,3.369692,3.369692,3.369692,,16.848462,279.684462,6.739385,,,3.369692,,6.739385,13.478769,3.369692,121.308923,,,,67.393846,16.848462,,13.478769,141.527077
1886,434.632632,,149.476831,2.299644,,59.790732,39.09394,96.585029,27.595723,135.67897,9.198574,18.397148,,,13.797861,335.747959,16.097505,2.299644,,,,20.696792,11.498218,18.397148,98.884673,,,,91.985742,43.693228,,4.599287,156.375762
1887,590.947444,,91.644256,,,3.160147,47.402201,6.320294,,116.92543,3.160147,,,,9.48044,395.018345,12.640587,,,6.320294,,,12.640587,,22.121027,,,,12.640587,3.160147,,12.640587,145.366751
1888,350.686712,3.962562,158.502469,1.981281,1.981281,13.868966,43.588179,15.850247,1.981281,59.438426,21.794089,,5.943843,,7.925123,136.708379,27.737932,5.943843,,5.943843,,1.981281,5.943843,,5.943843,,,1.981281,21.794089,,,15.850247,206.053209
1889,357.031906,3.091185,139.10334,1.545593,3.091185,60.278114,9.273556,27.820668,,310.664126,1.545593,1.545593,44.822187,3.091185,47.913373,731.065331,23.18389,9.273556,,4.636778,41.731002,18.547112,26.275075,,12.364741,,,,12.364741,,,30.911853,193.199083
1890,278.794262,144.111044,175.088184,,10.774657,18.855651,14.815154,28.283476,6.734161,207.412156,2.693664,1.346832,2.693664,,18.855651,729.983043,39.058133,8.080993,,9.427825,6.734161,4.040497,52.526455,,8.080993,,,,16.161986,,,10.774657,410.783816
1891,507.085975,4.409443,48.503876,,83.779422,28.661381,8.818887,6.614165,8.818887,105.826638,2.204722,2.204722,2.204722,,24.251938,399.054615,132.283298,,,,2.204722,,4.409443,,22.047216,,,,8.818887,,,11.023608,79.369979
1892,636.227605,1.610703,170.734497,,14.496325,28.99265,43.488976,32.214056,9.664217,180.398713,8.053514,,20.939136,9.664217,19.328434,929.375514,30.603353,22.549839,,1.610703,80.53514,,214.223472,41.878273,22.549839,,,,17.717731,1.610703,,9.664217,608.845658
1893,368.828355,6.645556,73.101115,3.322778,13.291112,24.920835,6.645556,33.22778,16.61389,181.0914,14.952501,8.306945,16.61389,,49.84167,1056.643396,23.259446,,,13.291112,4.984167,4.984167,54.825837,8.306945,66.45556,,,,61.471393,33.22778,,28.243613,252.531126
1894,205.25283,,95.784654,,2.736704,,5.473409,10.946818,,54.734088,2.736704,,32.840453,,38.313862,492.606793,71.154315,,,21.893635,8.210113,,19.156931,5.473409,5.473409,,,,21.893635,,,5.473409,221.673057
1895,937.746192,,169.012395,10.904025,10.904025,,68.150159,13.630032,,179.916421,10.904025,,38.164089,,111.766261,561.557313,8.178019,2.726006,,2.726006,46.342108,10.904025,19.082045,,16.356038,,,,27.260064,5.452013,,5.452013,160.834376
1896,436.153886,,207.173096,2.725962,10.903847,5.451924,16.355771,19.081733,,125.394242,2.725962,5.451924,5.451924,,76.32693,387.086574,10.903847,13.629809,,5.451924,8.177885,5.451924,32.711541,,13.629809,,,,136.298089,,,2.725962,324.389453
1897,592.94091,2.578004,87.652134,,7.734012,7.734012,12.89002,33.514051,2.578004,90.230138,15.468024,,5.156008,,28.358044,734.731127,10.312016,,,,,,15.468024,,67.028103,,,,69.606107,2.578004,,12.89002,183.038281
1898,508.583646,2.594815,163.473315,2.594815,,5.189629,36.327403,31.137774,5.189629,75.249621,25.948145,2.594815,,,46.706661,272.455525,15.568887,12.974073,,,10.379258,15.568887,,,28.54296,2.594815,,,23.353331,2.594815,2.594815,10.379258,158.283686
1899,451.456787,2.579753,157.364937,,10.319012,,7.739259,7.739259,5.159506,128.987653,18.058271,5.159506,15.478518,,36.116543,405.021231,2.579753,,,2.579753,15.478518,2.579753,,,5.159506,,,,25.797531,,,5.159506,245.076541
1900,628.978288,5.031826,203.788965,7.547739,,,22.643218,22.643218,,324.552796,10.063653,,12.579566,,40.25461,329.584623,17.611392,2.515913,,2.515913,2.515913,5.031826,10.063653,,10.063653,,,,20.127305,,5.031826,7.547739,171.082094
1901,509.919203,,127.479801,5.099192,2.549596,,7.648788,40.793536,,84.136669,40.793536,,2.549596,,15.297576,392.637787,7.648788,5.099192,,7.648788,5.099192,,20.396768,2.549596,22.946364,,,,50.99192,2.549596,,5.099192,163.174145
1902,505.917664,,159.901438,2.621335,2.621335,2.621335,10.48534,13.106675,,175.629448,55.048036,,26.21335,,20.97068,524.267009,10.48534,5.24267,2.621335,2.621335,10.48534,7.864005,18.349345,,7.864005,,,,47.184031,,,2.621335,432.520283
1903,340.256748,2.430405,82.633782,2.430405,19.443243,,7.291216,41.316891,,92.355403,29.164864,,2.430405,,29.164864,362.130396,4.860811,19.443243,2.430405,,2.430405,,21.873648,,7.291216,,,,31.595269,2.430405,,4.860811,170.128374
1904,1151.657425,,114.385839,,18.197747,,15.598069,12.998391,,116.985517,44.194529,2.599678,18.197747,,129.983908,335.358483,12.998391,36.395494,2.599678,,7.799034,,2.599678,,5.199356,,,,15.598069,,,10.398713,319.760414
1905,319.031549,,108.295113,,2.926895,,5.85379,17.56137,,93.660638,29.268949,,14.634475,,38.049634,169.759907,,17.56137,,,,,11.70758,,2.926895,,,,,,2.926895,,140.490957
1906,438.957053,3.8505,159.795769,,5.775751,,17.327252,21.177753,1.92525,134.767516,48.131256,,336.918791,,50.056506,365.797545,1.92525,7.701001,,1.92525,7.701001,,5.775751,,42.355505,,,,11.551501,,,5.775751,125.141265
1907,374.729136,,124.909712,5.430857,10.861714,,,27.154285,,32.585142,32.585142,,97.755427,,43.446856,874.367984,,5.430857,,,,,,,10.861714,5.430857,,,27.154285,,,,43.446856
